學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,性別,在學學生數,學期間退學人數-總計,學期間退學人數-學生自請退學-小計,學期間退學人數-學生自請退學-就讀學校、科系不符期待,學期間退學人數-學生自請退學-懷孕,學期間退學人數-學生自請退學-育嬰,學期間退學人數-學生自請退學-傷病,學期間退學人數-學生自請退學-經濟困難,學期間退學人數-學生自請退學-工作,學期間退學人數-學生自請退學-其他(不含死亡),學期間退學人數-學校勒令退學-小計,學期間退學人數-學校勒令退學-成績不佳或曠課時數過多,學期間退學人數-學校勒令退學-操行成績,學期間退學人數-學校勒令退學-因逾期未註冊,學期間退學人數-學校勒令退學-因休學逾期未復學,學期間退學人數-學校勒令退學-其他(不含死亡)
113,1,公立,一般大學,0001,國立政治大學,學士班(日間),男,3991,72,27,27,0,0,0,0,0,0,45,1,0,1,43,0
113,1,公立,一般大學,0001,國立政治大學,碩士班(日間),男,1904,65,14,9,0,0,1,0,4,0,51,1,0,1,49,0
113,1,公立,一般大學,0001,國立政治大學,碩士在職專班,男,902,40,3,1,0,0,0,0,2,0,37,5,0,3,28,1
113,1,公立,一般大學,0001,國立政治大學,博士班,男,482,28,5,2,0,0,1,0,1,1,23,4,0,1,18,0
113,1,公立,一般大學,0001,國立政治大學,學士班(日間),女,5810,83,28,24,0,0,3,1,0,0,55,0,0,0,55,0
113,1,公立,一般大學,0001,國立政治大學,碩士班(日間),女,2433,67,15,10,0,0,1,1,3,0,52,3,0,0,49,0
113,1,公立,一般大學,0001,國立政治大學,碩士在職專班,女,962,28,6,1,0,0,0,0,5,0,22,1,0,4,17,0
113,1,公立,一般大學,0001,國立政治大學,博士班,女,415,15,2,0,0,0,0,0,2,0,13,0,0,4,9,0
113,1,公立,一般大學,0002,國立清華大學,學士班(日間),男,5059,103,43,42,0,0,0,0,0,1,60,9,0,33,18,0
113,1,公立,一般大學,0002,國立清華大學,碩士班(日間),男,3513,61,20,14,0,0,2,1,3,0,41,5,0,28,8,0
113,1,公立,一般大學,0002,國立清華大學,碩士在職專班,男,517,10,4,2,0,0,0,0,2,0,6,0,0,6,0,0
113,1,公立,一般大學,0002,國立清華大學,博士班,男,1158,44,18,13,0,0,1,0,3,1,26,5,0,16,5,0
113,1,公立,一般大學,0002,國立清華大學,學士班(日間),女,4248,75,30,29,0,0,0,0,0,1,45,2,0,27,16,0
113,1,公立,一般大學,0002,國立清華大學,碩士班(日間),女,2373,49,11,7,0,0,1,0,2,1,38,2,0,25,11,0
113,1,公立,一般大學,0002,國立清華大學,碩士在職專班,女,898,19,5,1,0,0,2,0,1,1,14,1,0,10,2,1
113,1,公立,一般大學,0002,國立清華大學,博士班,女,503,20,8,4,0,0,0,0,3,1,12,0,0,7,5,0
