學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),大陸地區來臺學位生小計,大陸地區來臺學位生男,大陸地區來臺學位生女,大陸地區來臺學位生數之在學比率(%)
107,公立,一般大學,0001,國立政治大學,02311014,韓國語文學系,碩士班(日間),1,0,1,4.35
107,公立,一般大學,0001,國立政治大學,02399018,語言學研究所,碩士班(日間),1,0,1,4.00
107,公立,一般大學,0001,國立政治大學,03111024,經濟學系,碩士班(日間),4,4,0,4.82
107,公立,一般大學,0001,國立政治大學,03111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),1,1,0,3.13
107,公立,一般大學,0001,國立政治大學,03121026,政治學系,碩士班(日間),4,4,0,5.13
107,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),2,0,2,2.63
107,公立,一般大學,0001,國立政治大學,03143036,日本研究碩士學位學程,碩士班(日間),3,1,2,7.69
107,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),3,2,1,7.69
107,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語碩士學位學程,碩士班(日間),1,1,0,1.82
107,公立,一般大學,0001,國立政治大學,03143043,地政學系,碩士班(日間),3,3,0,3.75
107,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),6,5,1,9.38
107,公立,一般大學,0001,國立政治大學,03222054,圖書資訊與檔案學研究所,碩士班(日間),6,0,6,9.68
107,公立,一般大學,0001,國立政治大學,05199083,神經科學研究所,碩士班(日間),1,0,1,25.00
107,公立,一般大學,0001,國立政治大學,05421079,統計學系,碩士班(日間),5,3,2,7.81
107,公立,一般大學,0001,國立政治大學,06131081,資訊科學系,碩士班(日間),2,2,0,1.92
107,公立,一般大學,0001,國立政治大學,09231084,社會工作研究所,碩士班(日間),4,1,3,6.67
107,公立,一般大學,0001,國立政治大學,04111059,會計學系,碩士班(日間),15,3,12,10.34
107,公立,一般大學,0001,國立政治大學,04122070,財政學系,碩士班(日間),1,1,0,1.32
107,公立,一般大學,0001,國立政治大學,04131060,企業管理研究所(MBA學位學程),碩士班(日間),2,1,1,0.79
107,公立,一般大學,0001,國立政治大學,04134041,公共行政學系,碩士班(日間),1,0,1,0.80
107,公立,一般大學,0001,國立政治大學,04141067,國際經營與貿易學系,碩士班(日間),4,2,2,3.57
107,公立,一般大學,0001,國立政治大學,04199072,科技管理與智慧財產研究所,碩士班(日間),7,3,4,4.58
107,公立,一般大學,0001,國立政治大學,04211074,法律科際整合研究所,碩士班(日間),2,0,2,2.15
107,公立,一般大學,0001,國立政治大學,04212073,法律學系,碩士班(日間),15,4,11,6.02
107,公立,一般大學,0001,國立政治大學,06131080,資訊管理學系,碩士班(日間),4,2,2,4.49
107,公立,一般大學,0001,國立政治大學,06134057,數位內容碩士學位學程,碩士班(日間),5,3,2,10.87
107,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,學士班(日間),1,0,1,0.35
107,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系,學士班(日間),3,2,1,0.90
107,公立,一般大學,0002,國立清華大學,04199023,科技管理學院學士班,學士班(日間),5,1,4,2.07
107,公立,一般大學,0002,國立清華大學,07141055,電機資訊學院學士班,學士班(日間),5,3,2,3.91
107,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,學士班(日間),1,1,0,0.21
107,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,博士班,3,3,0,15.79
107,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,博士班,7,2,5,35.00
107,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,博士班,10,4,6,28.57
107,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,博士班,1,1,0,1.72
107,公立,一般大學,0002,國立清華大學,07111057,化學工程學系,博士班,3,2,1,2.75
107,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,博士班,2,2,0,1.33
107,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,博士班,1,1,0,3.85
107,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,博士班,2,2,0,2.78
107,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,博士班,3,3,0,5.88
107,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,博士班,3,3,0,12.00
107,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,博士班,3,2,1,3.23
107,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,博士班,1,0,1,2.00
107,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,碩士班(日間),3,1,2,3.00
107,公立,一般大學,0002,國立清華大學,01131085,數理教育研究所,碩士班(日間),1,0,1,1.30
107,公立,一般大學,0002,國立清華大學,02131098,藝術與設計學系藝術教育與創作碩士班,碩士班(日間),3,3,0,3.66
107,公立,一般大學,0002,國立清華大學,02221006,歷史研究所,碩士班(日間),4,1,3,10.00
107,公立,一般大學,0002,國立清華大學,02222007,人類學研究所,碩士班(日間),2,1,1,5.26
107,公立,一般大學,0002,國立清華大學,02299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),4,1,3,50.00
107,公立,一般大學,0002,國立清華大學,02321001,台灣文學研究所,碩士班(日間),7,2,5,14.89
107,公立,一般大學,0002,國立清華大學,03111011,經濟學系,碩士班(日間),8,3,5,16.67
107,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,博士班,1,1,0,2.44
107,公立,一般大學,0002,國立清華大學,99999074,跨院國際博士班學位學程,博士班,4,0,4,7.27
107,公立,一般大學,0002,國立清華大學,01121091,幼兒教育學系,碩士班(日間),4,0,4,8.70
107,公立,一般大學,0002,國立清華大學,01131105,英語教學系,碩士班(日間),2,0,2,7.41
107,公立,一般大學,0002,國立清華大學,01141090,體育學系,碩士班(日間),4,2,2,12.90
107,公立,一般大學,0002,國立清華大學,02151096,音樂學系,碩士班(日間),4,1,3,5.88
107,公立,一般大學,0002,國立清華大學,02311002,外國語文學系,碩士班(日間),4,0,4,8.00
107,公立,一般大學,0002,國立清華大學,02322003,中國文學系,碩士班(日間),14,3,11,21.88
107,公立,一般大學,0002,國立清華大學,02322109,中國語文學系,碩士班(日間),1,0,1,3.03
107,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,碩士班(日間),3,3,0,6.12
107,公立,一般大學,0002,國立清華大學,03131077,教育心理與諮商學系,碩士班(日間),5,2,3,3.97
107,公立,一般大學,0002,國立清華大學,04121020,計量財務金融學系,碩士班(日間),7,0,7,14.58
107,公立,一般大學,0002,國立清華大學,04131018,國際專業管理碩士班,碩士班(日間),1,0,1,1.64
107,公立,一般大學,0002,國立清華大學,04199022,服務科學研究所,碩士班(日間),1,0,1,1.75
107,公立,一般大學,0002,國立清華大學,04212024,科技法律研究所,碩士班(日間),11,3,8,10.89
107,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,碩士班(日間),2,1,1,3.92
107,公立,一般大學,0002,國立清華大學,05199033,系統神經科學研究所,碩士班(日間),1,1,0,3.70
107,公立,一般大學,0002,國立清華大學,05411043,數學系,碩士班(日間),4,3,1,6.56
107,公立,一般大學,0002,國立清華大學,05411115,計算與建模科學研究所,碩士班(日間),1,1,0,4.17
107,公立,一般大學,0002,國立清華大學,07141050,電子工程研究所,碩士班(日間),2,2,0,1.10
107,公立,一般大學,0002,國立清華大學,07141052,光電工程研究所,碩士班(日間),2,1,1,1.67
107,公立,一般大學,0002,國立清華大學,07151056,動力機械工程學系,碩士班(日間),7,5,2,2.50
107,公立,一般大學,0002,國立清華大學,07193063,生醫工程與環境科學系,碩士班(日間),6,3,3,4.96
107,公立,一般大學,0002,國立清華大學,07199070,全球營運管理碩士雙聯學位學程,碩士班(日間),1,0,1,6.67
107,公立,一般大學,0002,國立清華大學,99999074,跨院國際碩士學位學程,碩士班(日間),3,1,2,15.00
107,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,碩士班(日間),10,5,5,12.66
107,公立,一般大學,0002,國立清華大學,03199015,學習科學研究所,碩士班(日間),1,1,0,4.76
107,公立,一般大學,0002,國立清華大學,04199017,科技管理研究所,碩士班(日間),7,4,3,10.45
107,公立,一般大學,0002,國立清華大學,05121030,生物資訊與結構生物研究所,碩士班(日間),3,1,2,5.45
107,公立,一般大學,0002,國立清華大學,05211102,環境與文化資源學系,碩士班(日間),2,2,0,5.71
107,公立,一般大學,0002,國立清華大學,05311037,化學系,碩士班(日間),1,1,0,0.56
107,公立,一般大學,0002,國立清華大學,05331038,物理學系,碩士班(日間),1,0,1,0.64
107,公立,一般大學,0002,國立清華大學,05421044,統計學研究所,碩士班(日間),1,1,0,2.08
107,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,碩士班(日間),4,3,1,1.13
107,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,碩士班(日間),7,6,1,5.79
107,公立,一般大學,0002,國立清華大學,07112058,材料科學工程學系,碩士班(日間),1,1,0,0.39
107,公立,一般大學,0002,國立清華大學,07131068,核子工程與科學研究所,碩士班(日間),1,1,0,2.08
107,公立,一般大學,0002,國立清華大學,07141049,電機工程學系,碩士班(日間),6,5,1,1.69
107,公立,一般大學,0002,國立清華大學,07141054,通訊工程研究所,碩士班(日間),1,0,1,0.66
107,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,碩士班(日間),5,4,1,2.67
107,公立,一般大學,0002,國立清華大學,05121025,生命科學系,學士班(日間),1,0,1,0.54
107,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,學士班(日間),2,2,0,0.34
107,公立,一般大學,0002,國立清華大學,07191061,工業工程與工程管理學系,學士班(日間),1,0,1,0.35
107,公立,一般大學,0002,國立清華大學,99999075,清華學院學士班,學士班(日間),3,1,2,3.13
107,公立,一般大學,0002,國立清華大學,01111084,教育與學習科技學系,博士班,10,3,7,15.15
107,公立,一般大學,0002,國立清華大學,02322003,中國文學系,博士班,6,2,4,9.23
107,公立,一般大學,0002,國立清華大學,02399005,語言學研究所,博士班,3,0,3,18.75
107,公立,一般大學,0002,國立清華大學,03111011,經濟學系,博士班,6,3,3,23.08
107,公立,一般大學,0002,國立清華大學,03141012,社會學研究所,博士班,3,3,0,15.79
107,公立,一般大學,0002,國立清華大學,05121026,生物科技研究所,博士班,1,1,0,2.22
107,公立,一般大學,0002,國立清華大學,05331038,物理學系,博士班,3,2,1,5.26
107,公立,一般大學,0002,國立清華大學,05411043,數學系,博士班,2,2,0,11.11
107,公立,一般大學,0002,國立清華大學,06131053,資訊工程學系,博士班,2,1,1,3.23
107,公立,一般大學,0002,國立清華大學,06134046,資訊系統與應用研究所,博士班,1,0,1,5.88
107,公立,一般大學,0002,國立清華大學,07132066,工程與系統科學系,博士班,3,3,0,3.33
107,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,學士班(日間),1,0,1,0.18
107,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,學士班(日間),1,0,1,0.13
107,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,學士班(日間),1,0,1,0.34
107,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,學士班(日間),1,0,1,0.52
107,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,學士班(日間),1,0,1,0.27
107,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,博士班,3,2,1,17.65
107,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,博士班,1,1,0,2.44
107,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,博士班,1,0,1,7.69
107,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,博士班,1,0,1,4.76
107,公立,一般大學,0003,國立臺灣大學,03191023,國家發展研究所,博士班,4,3,1,6.06
107,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,博士班,1,1,0,5.56
107,公立,一般大學,0003,國立臺灣大學,04131026,商學研究所,博士班,1,1,0,2.56
107,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,博士班,2,2,0,4.44
107,公立,一般大學,0003,國立臺灣大學,05311051,化學系,博士班,5,4,1,4.00
107,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,博士班,2,2,0,1.98
107,公立,一般大學,0003,國立臺灣大學,07111077,高分子科學與工程學研究所,博士班,1,1,0,2.86
107,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,博士班,2,2,0,2.44
107,公立,一般大學,0003,國立臺灣大學,07141065,電子工程學研究所,博士班,3,3,0,2.54
107,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,博士班,2,1,1,3.70
107,公立,一般大學,0003,國立臺灣大學,07191079,工業工程學研究所,博士班,4,4,0,20.00
107,公立,一般大學,0003,國立臺灣大學,07194071,應用力學研究所,博士班,1,1,0,3.23
107,公立,一般大學,0003,國立臺灣大學,07313086,建築與城鄉研究所,博士班,4,2,2,9.76
107,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,博士班,1,1,0,0.83
107,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,學士班(日間),2,0,2,0.93
107,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,學士班(日間),2,1,1,1.17
107,公立,一般大學,0003,國立臺灣大學,09191122,公共衛生學系,學士班(日間),1,1,0,0.63
107,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,博士班,1,0,1,6.25
107,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,博士班,3,1,2,6.12
107,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,博士班,1,1,0,2.44
107,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,博士班,1,0,1,5.56
107,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,博士班,2,0,2,3.85
107,公立,一般大學,0003,國立臺灣大學,05121046,分子與細胞生物學研究所,博士班,1,1,0,12.50
107,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,博士班,1,0,1,5.00
107,公立,一般大學,0003,國立臺灣大學,08311103,漁業科學研究所,博士班,1,1,0,8.33
107,公立,一般大學,0003,國立臺灣大學,09121130,藥理學研究所,博士班,1,0,1,4.76
107,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,博士班,1,1,0,4.00
107,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,博士班,1,1,0,4.76
107,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,碩士班(日間),4,1,3,14.81
107,公立,一般大學,0003,國立臺灣大學,02191004,藝術史研究所,碩士班(日間),5,2,3,11.63
107,公立,一般大學,0003,國立臺灣大學,02222013,人類學系,碩士班(日間),5,2,3,12.50
107,公立,一般大學,0003,國立臺灣大學,02311007,外國語文學系,碩士班(日間),2,0,2,3.28
107,公立,一般大學,0003,國立臺灣大學,02311009,日本語文學系,碩士班(日間),3,0,3,6.98
107,公立,一般大學,0003,國立臺灣大學,02321005,臺灣文學研究所,碩士班(日間),1,0,1,2.63
107,公立,一般大學,0003,國立臺灣大學,02322006,中國文學系,碩士班(日間),10,1,9,13.16
107,公立,一般大學,0003,國立臺灣大學,02399011,語言學研究所,碩士班(日間),1,1,0,2.86
107,公立,一般大學,0003,國立臺灣大學,03121016,政治學系,碩士班(日間),13,9,4,9.92
107,公立,一般大學,0003,國立臺灣大學,04111027,會計學系,碩士班(日間),7,3,4,6.42
107,公立,一般大學,0003,國立臺灣大學,04131026,商學研究所,碩士班(日間),4,2,2,2.90
107,公立,一般大學,0003,國立臺灣大學,04131031,國際企業學系,碩士班(日間),10,5,5,6.62
107,公立,一般大學,0003,國立臺灣大學,04134022,公共事務研究所,碩士班(日間),6,2,4,10.34
107,公立,一般大學,0003,國立臺灣大學,05111038,生命科學系,碩士班(日間),5,1,4,7.58
107,公立,一般大學,0003,國立臺灣大學,05111040,植物科學研究所,碩士班(日間),1,0,1,1.43
107,公立,一般大學,0003,國立臺灣大學,05121045,生化科學研究所,碩士班(日間),3,2,1,5.66
107,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,博士班,1,1,0,0.96
107,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,博士班,4,3,1,4.88
107,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,博士班,2,2,0,2.70
107,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,博士班,1,1,0,0.92
107,公立,一般大學,0003,國立臺灣大學,07193081,生醫電子與資訊學研究所,博士班,1,1,0,1.45
107,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,博士班,1,0,1,2.94
107,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,博士班,1,1,0,5.56
107,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,博士班,1,1,0,4.35
107,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,博士班,2,0,2,6.67
107,公立,一般大學,0003,國立臺灣大學,01131001,華語教學碩士學位學程,碩士班(日間),3,0,3,5.56
107,公立,一般大學,0003,國立臺灣大學,02152003,戲劇學系,碩士班(日間),9,1,8,27.27
107,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,碩士班(日間),5,5,0,5.75
107,公立,一般大學,0003,國立臺灣大學,02231014,哲學系,碩士班(日間),7,4,3,15.91
107,公立,一般大學,0003,國立臺灣大學,02312010,翻譯碩士學位學程,碩士班(日間),3,1,2,7.69
107,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,碩士班(日間),3,1,2,2.52
107,公立,一般大學,0003,國立臺灣大學,03131019,心理學系,碩士班(日間),9,0,9,6.82
107,公立,一般大學,0003,國立臺灣大學,03141018,社會學系,碩士班(日間),4,2,2,8.51
107,公立,一般大學,0003,國立臺灣大學,03142021,地理環境資源學系,碩士班(日間),7,5,2,10.94
107,公立,一般大學,0003,國立臺灣大學,03191023,國家發展研究所,碩士班(日間),8,5,3,3.70
107,公立,一般大學,0003,國立臺灣大學,03212024,新聞研究所,碩士班(日間),13,6,7,14.29
107,公立,一般大學,0003,國立臺灣大學,03222025,圖書資訊學系,碩士班(日間),6,2,4,10.71
107,公立,一般大學,0003,國立臺灣大學,04121032,財務金融學系,碩士班(日間),11,6,5,7.43
107,公立,一般大學,0003,國立臺灣大學,04131028,管理學院企業管理碩士專班,碩士班(日間),1,1,0,0.71
107,公立,一般大學,0003,國立臺灣大學,05321052,地質科學系,碩士班(日間),2,1,1,2.67
107,公立,一般大學,0003,國立臺灣大學,05321053,氣候變遷與永續發展國際碩士學位學程,碩士班(日間),1,0,1,3.45
107,公立,一般大學,0003,國立臺灣大學,06131062,資訊管理學系,碩士班(日間),4,2,2,3.54
107,公立,一般大學,0003,國立臺灣大學,06131067,資訊工程學系,碩士班(日間),15,12,3,4.87
107,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,碩士班(日間),3,2,1,1.97
107,公立,一般大學,0003,國立臺灣大學,07141065,電子工程學研究所,碩士班(日間),8,7,1,2.07
107,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,碩士班(日間),13,11,2,3.10
107,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,碩士班(日間),4,3,1,2.04
107,公立,一般大學,0003,國立臺灣大學,07193083,醫學工程學研究所,碩士班(日間),3,1,2,2.61
107,公立,一般大學,0003,國立臺灣大學,07211099,食品科技研究所,碩士班(日間),9,2,7,8.49
107,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,碩士班(日間),20,13,7,5.42
107,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,碩士班(日間),2,1,1,2.86
107,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,碩士班(日間),7,2,5,4.73
107,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,碩士班(日間),3,0,3,8.57
107,公立,一般大學,0003,國立臺灣大學,08311103,漁業科學研究所,碩士班(日間),1,1,0,3.13
107,公立,一般大學,0003,國立臺灣大學,09121048,微生物學研究所,碩士班(日間),1,1,0,1.30
107,公立,一般大學,0003,國立臺灣大學,09121130,藥理學研究所,碩士班(日間),1,0,1,2.56
107,公立,一般大學,0003,國立臺灣大學,09141136,醫學檢驗暨生物技術學系,碩士班(日間),3,1,2,5.08
107,公立,一般大學,0003,國立臺灣大學,09191122,公共衛生碩士學位學程,碩士班(日間),1,1,0,1.06
107,公立,一般大學,0003,國立臺灣大學,09191123,職業醫學與工業衛生研究所,碩士班(日間),2,1,1,4.88
107,公立,一般大學,0003,國立臺灣大學,09191126,流行病學與預防醫學研究所,碩士班(日間),2,0,2,2.20
107,公立,一般大學,0003,國立臺灣大學,09191128,健康行為與社區科學研究所,碩士班(日間),1,1,0,4.76
107,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,碩士班(日間),4,1,3,7.27
107,公立,一般大學,0003,國立臺灣大學,04211035,法律學系,碩士班(日間),19,11,8,3.90
107,公立,一般大學,0003,國立臺灣大學,05121046,分子與細胞生物學研究所,碩士班(日間),1,1,0,1.52
107,公立,一般大學,0003,國立臺灣大學,05121151,生化科技學系,碩士班(日間),1,0,1,0.94
107,公立,一般大學,0003,國立臺灣大學,05311051,化學系,碩士班(日間),6,3,3,3.02
107,公立,一般大學,0003,國立臺灣大學,05322056,大氣科學系,碩士班(日間),1,1,0,2.38
107,公立,一般大學,0003,國立臺灣大學,05331054,物理學系,碩士班(日間),6,5,1,3.14
107,公立,一般大學,0003,國立臺灣大學,06131063,資訊網路與多媒體研究所,碩士班(日間),9,7,2,8.91
107,公立,一般大學,0003,國立臺灣大學,07111076,化學工程學系,碩士班(日間),4,3,1,1.83
107,公立,一般大學,0003,國立臺灣大學,07111077,高分子科學與工程學研究所,碩士班(日間),3,3,0,4.84
107,公立,一般大學,0003,國立臺灣大學,07121080,環境工程學研究所,碩士班(日間),8,3,5,7.08
107,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,碩士班(日間),12,12,0,5.48
107,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,碩士班(日間),6,6,0,2.45
107,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,碩士班(日間),1,1,0,0.36
107,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,碩士班(日間),2,2,0,1.92
107,公立,一般大學,0003,國立臺灣大學,07193081,生醫電子與資訊學研究所,碩士班(日間),3,1,2,2.68
107,公立,一般大學,0003,國立臺灣大學,07313086,建築與城鄉研究所,碩士班(日間),15,4,11,13.51
107,公立,一般大學,0003,國立臺灣大學,08112089,動物科學技術學系,碩士班(日間),1,1,0,2.13
107,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,碩士班(日間),2,1,1,3.64
107,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,碩士班(日間),1,1,0,0.84
107,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,碩士班(日間),1,1,0,3.03
107,公立,一般大學,0003,國立臺灣大學,09121110,免疫學研究所,碩士班(日間),1,0,1,3.57
107,公立,一般大學,0003,國立臺灣大學,09191127,健康政策與管理研究所,碩士班(日間),4,2,2,5.13
107,公立,一般大學,0003,國立臺灣大學,09199141,毒理學研究所,碩士班(日間),1,0,1,4.55
107,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,學士班(日間),1,0,1,0.39
107,公立,一般大學,0003,國立臺灣大學,03111015,經濟學系,學士班(日間),1,0,1,0.17
107,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,學士班(日間),2,2,0,1.25
107,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,學士班(日間),1,0,1,0.79
107,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,學士班(日間),1,1,0,0.37
107,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,學士班(日間),1,0,1,0.28
107,公立,一般大學,0003,國立臺灣大學,02151002,音樂學研究所,博士班,1,1,0,10.00
107,公立,一般大學,0003,國立臺灣大學,02221012,歷史學系,博士班,2,1,1,4.08
107,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,學士班(日間),3,0,3,1.15
107,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,學士班(日間),4,1,3,1.19
107,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,學士班(日間),1,0,1,0.52
107,公立,一般大學,0004,國立臺灣師範大學,04131051,企業管理學系,學士班(日間),3,2,1,1.25
107,公立,一般大學,0004,國立臺灣師範大學,05331061,物理學系,學士班(日間),1,1,0,0.39
107,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,博士班,4,2,2,4.88
107,公立,一般大學,0004,國立臺灣師範大學,01113018,特殊教育學系,博士班,4,1,3,9.30
107,公立,一般大學,0004,國立臺灣師範大學,01141007,人類發展與家庭學系,博士班,3,1,2,6.82
107,公立,一般大學,0004,國立臺灣師範大學,01141017,健康促進與衛生教育學系,博士班,2,0,2,4.44
107,公立,一般大學,0004,國立臺灣師範大學,02112037,設計學系,博士班,5,1,4,27.78
107,公立,一般大學,0004,國立臺灣師範大學,02151024,音樂學系,博士班,2,0,2,6.06
107,公立,一般大學,0004,國立臺灣師範大學,10152077,運動休閒與餐旅管理研究所,博士班,2,0,2,8.33
107,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,碩士班(日間),6,1,5,7.23
107,公立,一般大學,0004,國立臺灣師範大學,01113018,特殊教育學系,碩士班(日間),3,0,3,5.08
107,公立,一般大學,0004,國立臺灣師範大學,01131017,健康促進與衛生教育學系,碩士班(日間),3,0,3,5.08
107,公立,一般大學,0004,國立臺灣師範大學,01141007,人類發展與家庭學系,碩士班(日間),4,0,4,4.40
107,公立,一般大學,0004,國立臺灣師範大學,01141015,體育學系,碩士班(日間),3,2,1,2.44
107,公立,一般大學,0004,國立臺灣師範大學,02112037,設計學系,碩士班(日間),4,2,2,4.40
107,公立,一般大學,0004,國立臺灣師範大學,02311033,英語學系,碩士班(日間),1,0,1,0.80
107,公立,一般大學,0004,國立臺灣師範大學,02312034,翻譯研究所,碩士班(日間),1,0,1,1.20
107,公立,一般大學,0004,國立臺灣師範大學,02322029,國文學系,碩士班(日間),7,2,5,6.03
107,公立,一般大學,0004,國立臺灣師範大學,03131003,教育心理與輔導學系,碩士班(日間),3,0,3,2.38
107,公立,一般大學,0004,國立臺灣師範大學,03211048,大眾傳播研究所,碩士班(日間),5,2,3,5.26
107,公立,一般大學,0004,國立臺灣師範大學,03214050,圖文傳播學系,碩士班(日間),3,1,2,4.35
107,公立,一般大學,0004,國立臺灣師範大學,04131047,全球經營與策略研究所,碩士班(日間),1,0,1,1.72
107,公立,一般大學,0004,國立臺灣師範大學,04131052,管理研究所,碩士班(日間),3,1,2,4.11
107,公立,一般大學,0004,國立臺灣師範大學,01115002,課程與教學研究所,碩士班(日間),3,0,3,5.56
107,公立,一般大學,0004,國立臺灣師範大學,01131004,公民教育與活動領導學系,碩士班(日間),2,1,1,2.30
107,公立,一般大學,0004,國立臺灣師範大學,01131009,社會教育學系,碩士班(日間),2,1,1,2.78
107,公立,一般大學,0004,國立臺灣師範大學,02131023,美術學系,碩士班(日間),6,1,5,4.84
107,公立,一般大學,0004,國立臺灣師範大學,02151024,音樂學系,碩士班(日間),4,1,3,3.54
107,公立,一般大學,0004,國立臺灣師範大學,02151025,民族音樂研究所,碩士班(日間),1,0,1,1.67
107,公立,一般大學,0004,國立臺灣師範大學,02152027,表演藝術研究所,碩士班(日間),3,2,1,3.37
107,公立,一般大學,0004,國立臺灣師範大學,02191026,藝術史研究所,碩士班(日間),3,1,2,7.14
107,公立,一般大學,0004,國立臺灣師範大學,02313005,華語文教學系,碩士班(日間),3,0,3,1.78
107,公立,一般大學,0004,國立臺灣師範大學,03222049,圖書資訊學研究所,碩士班(日間),1,0,1,1.79
