學年度,設立別,學校類別,學校統計處代碼,學校名稱,當學年度全校總量內核定新生招生名額(A),當學年度全校新生保留入學資格人數(B),當學年度全校總量內新生招生核定名額之實際註冊人數(C),當學年度全校境外(新生)學生實際註冊人數(D),當學年度全校新生註冊率(％)E=〔(C+D)/(A-B+D)〕*100％,當學年度全校招生特色說明
114,公立,一般大學,0001,國立政治大學,4188,4,4068,361,97.45,"本校是臺灣最具人文與社會科學特色之綜合大學,致力於國際化及多元文化環境下,以培育具備跨領域多元知能、兼具本土扎根與國際視野的人才為重要使命。2025年遠見雜誌企業最愛大學排行榜,本校名列第7名,2023年亞洲大學QS排名,本校再入百大且仍為國際交換生首選。本校推動低門檻修習雙輔修措施,另有學分學程、選修外系課程與ETP全英語課程供學生自主選修；與陽明大學、臺北藝術大學,簽訂學術合作,提供校際選課；2021年加入台聯大系統,與陽明交通大學、清華大學及中央大學整合資源,提供學生跨校選課及圖書資源。本校與全球 500 餘所知名大學簽署超過 800 多項合作協議,遍及五大洲,並鼓勵師生出國交換進修及打造多語學習環境,本校全球傑出校友超過 10 萬人,於政府部門、企業界或藝術媒體界皆位居牛耳並具重要社會影響。"
114,公立,一般大學,0002,國立清華大學,4717,34,4732,560,100.00,"一、本校設有各類獎學金,特色獎學金如：還願獎學金、逐夢獎學金,兩者申請皆金額不限,申請不需成績優異、不限申請次數。二、本校致力開發多種跨領域學習課程,設30多個跨院系學分學程,提供更為多元化及客制化學習機會。三、本校在多項學術指標如：國內大學學術聲譽排名、理工學院聲譽排名、最佳研究所排名、國內企業最愛的大學生等評比上均名列前茅,為國內頂尖學府。2018年英國QS世界大學排名,本校躍升至161名,其排名各項指標表現為全國數一數二之成績。四、本校提供新生各管道入學之低收、中低收及特殊境遇家庭子女「旭日獎學金」,入學後得依相關要點提出申請,經審議通過後核發,獎學金每年申請一次,最多四年。五、本校致力推動全球化,目前本校簽有學術合作合約之大學／學術機構共計有220多所。在雙聯學位部分,本校有與瑞典林雪平大學、香港科技大學、大陸北京清華大學及英國利物浦大學等世界多所知名大學合作且陸續增加中。"
114,公立,一般大學,0003,國立臺灣大學,8787,18,8703,910,99.32,"本校目前有17個學院(含進修推廣學院、共同教育中心、重點科技研究學院、國際政經學院及2功能性學院),以及牙醫、藥學、獸醫3個專業學院,計有61學系(含5學士學位學程),154研究所(含41碩博學位學程),另設約50個各學術領域之國際級、國家級與校級研究中心,是臺灣規模最大的綜合性大學。學生總人數已達3萬4千餘人,其中學士班1萬7千餘人,研究生亦有1萬7千餘人,比例接近一比一。各學院提供完整的知識地圖、豐富的圖書資源、先進的科技設備、暢通的學術鏈結,結合優美的校園環境,共同形成具有吸引力的教學研究環境。本校透過完整的學科領域與豐富多元的學術資源與設施,更鼓勵學生跨領域學習以開拓視野並具備終身學習的知能,在校際拓展姊妹校網絡及雙聯學位合作,並加強建構雙語教學環境。本校除了展現卓越的學術研究成果,也持續讓教學研究單位評鑑、教師評鑑、課程評鑑等制度與時俱進,務使學生能在最佳的環境學習成長。"
114,公立,一般大學,0004,國立臺灣師範大學,4229,48,4002,593,96.25,"本校為綜合型大學,提供國際化、跨領域、社會關懷及科技人文藝術整合的學習環境,將邁向「亞洲頂大」及「國際卓越」的大學。2025年QS世界大學學科排名中表現亮眼,共有6個學科進入全球百名內,全臺第二,上榜學科數量共18個,展現學術影響力及綜合性大學的優勢。另本校與國際知名大學建立合作關係,現有超過400所姊妹校,每年提供1千個交換機會遍及全球。2024年本校榮獲教育部認證雙語標竿大學之一,校內成立「雙語教育推動辦公室」及「英文學術素養中心」推動單位,培養學生的專業英語能力及國際移動能力。本校鼓勵學生跨域學習,提供雙主修、輔系、學分學程、校學士制度、出國交換及修雙聯學位等學習機會；更與臺大、臺科大成立「國立臺灣大學系統」,讓三校學生可以跨校選課及互修學程。本校與台積電合作開設「半導體學程」,並攜手輝達、技嘉科技等科技巨頭,打造全臺首座元宇宙動態捕捉實驗室,推動AI跨域應用,培育高科技產業人才。"
114,公立,一般大學,0005,國立成功大學,6475,23,6510,487,100.00,"本校秉持「窮理致知」之校訓,致力於培育符合國家與產業發展需求之專業人才,長期以來素有「企業最愛大學」之美譽。除在人文社會、理工及生醫等領域提供深厚且廣泛的專業課程外,亦積極推動多元與彈性的學習制度,導入議題導向學習及終身學習理念,培養學生具備跨域整合與實踐能力。學校提供全方位學習支持系統,協助學生發展專業知識與關鍵能力,以回應從在地產業到國際社會的多元人才需求。  同時,本校重視國際化發展,積極推動學生海外交換、跨國雙學位及國際合作研究等計畫,營造跨越國界的多元學習環境。學生可透過海外研修、移地教學、短期研究實習、國際工作營、論壇及志工服務等機會,培養全球視野與多元文化理解。透過這些學習與交流機制,本校期許學生在專業知識之外,兼具在地文化自信與國際競爭力,成為具備全球視野與社會責任感的優秀人才。"
114,公立,一般大學,0006,國立中興大學,4529,0,4482,212,99.01,"國立中興大學創校已逾百年,培育出無數傑出人才,為國內歷史悠久、根基深厚且師資優秀的綜合型大學,且是中台灣唯一頂尖大學,在農業科學、植物與動物科學、工程、材料科學、電腦科學、化學、生物與生化、臨床醫學、環境/生態學、藥理學與毒理學、一般社會科學11大領域,名列基本科學指標（ESI）全球前1%。本校設有文、農業暨自然資源、理、工、生命科學、獸醫、管理、法政、電資和醫學院等十大學院,另設有循環經濟研究學院,以及提供給社會人士進修的創新產業暨國際學院。研究中心包含生物科技發展中心、前瞻理工科技研究中心、人文社會科學前瞻研究中心、環境保育暨防災科技研究中心、先端產業暨精密製程中心、產學研鏈結中心等中心。除校本部外,另有中興新村南投分部,以及總面積達8千餘公頃之惠蓀、新化、東勢、文山等4大實驗林場、獸醫醫院、農業及動物試驗場等教學研究設施。"
114,公立,一般大學,0007,國立陽明交通大學,5651,8,5796,405,100.00,"國立陽明交通大學為國立陽明大學與國立交通大學於2021年2月1日合併成立。此兩所臺灣頂尖的生物醫學大學及電資理工大學合而為一,被喻為強強聯手,遠見雜誌於2021年評比為「未來十年最具潛力的大學」。陽明校區作為醫學教育改革的先驅者,紮實培育新世代醫牙藥護、生命科學、生醫工程、醫學人文等專業與尖端研究領域之優秀人才,在高齡長照、腫瘤、腦科學、醫學工程等已有深厚基礎,在全球醫療領域有領先地位,和臺北榮民總醫院長期合作,位於宜蘭的附設醫院也積極挑戰成為全方位的醫學中心。本校在電子、資通訊與管理、科學與工程等領域為台灣領導者,為台灣半導體及科技產業培養優秀人才,並以發展生醫領域為目標,包含生醫資訊、生醫材料、生醫電子等,期能橫跨電資通訊與生醫,為我國開拓生醫科技產業之先驅。合校後「一樹百穫計畫」,除更新與活化校區外,更因應人工智慧時代對研發人才迫切需要,在智慧醫療與電子工程上為世界開啟嶄新篇章。"
114,公立,一般大學,0008,國立中央大學,3792,4,3828,149,100.00,"中央大學設有文、理、工、管理、資訊電機、地球科學、客家、生醫理工、研究學院,共9個學院,大學部23個系、5個院學士班；55個研究所、18個獨立所、12個學位學程、1個院設班別(EMBA),是一所科學、人文薈萃的綜合大學。目前學生人數約12,000人,大學生與研究生比例約1：1。  在教學特色與學習資源方面,推動跨域學習與自主學習,並建立數位學習平台,並設有雙聯學位、交換學生計畫、語言文化課程、海外暑期實習等,以培養學生國際移動力,以及與清華大學、陽明交通大學、政治大學共組台灣聯合大學系統,整合教育、研究、行政及圖儀等豐富多元的教學資源。  在生活及助學方面,以「學習取代工讀」為宗旨,設立安心就學支持計畫,設有向日葵助學金、安心學習助學金與多項學習獎勵金,另每學期提供約有150項校內外獎助學金可申請,並設有一對一課輔、各系課後輔導等個別化課業輔導,以及導師晤談、宿舍導師等生活關懷措施。"
114,公立,一般大學,0009,國立中山大學,3296,12,3166,192,96.61,"國立中山大學位於高雄港灣,憑藉「山海合一」的地理優勢與「國際化的校園氛圍」吸引全球多元背景的學生就讀。作為高屏地區的頂尖研究型大學,中山大學以跨領域學習為核心,重視全人教育、創新教學及SDGs目標。透過繁星、南星、西灣南星及特殊選才等招生管道,拓展經濟或文化不利學生的入學機會,並提供經濟支持與個性化學習輔導,以培育具全球視野的專業人才。    中山大學設有豐富的跨領域課程與專業學位學程,提升學生的國際移動力。作為教育部雙語重點培育大學,本校積極推動雙語教學,培養學生英文能力並鼓勵參與國際交流,拓展國際網絡。同時,設有國際金融、半導體及重點科技研究學院,並連結在地及國際產業,建立國際合作研究平台,為產學合作注入動力。未來,中山大學將秉持「藝文與包容、前瞻與創新」的願景,致力成為南臺灣的知識創意引擎,培育具前瞻思維的領袖,推動南台灣產業、學術及文化發展,邁向國際頂尖大學的目標。"
114,公立,一般大學,0012,國立臺灣海洋大學,2623,0,2336,130,89.58,"本校位於大臺北地區之基隆市,有獨特的龍崗生態園區與雨水公園,學術氛圍、生活機能與學習環境極優。本校設有8個學院、22個學系、16個獨立研究所、31個碩士班、19個博士班、15個碩士在職專班、4個進修學士班與師培中心,另設有商船及輪機學士後多元專長培力課程專班。海洋的領域浩瀚,本校不論是海洋海事水產、海洋工程（如離岸風電）、航運管理、輪機造船、海洋觀光休閒與文創、海洋探勘與考古、海洋生物、環境保育以及海洋法律等,從科技到人文領域,本校都有足夠資源,讓同學成為各個海洋專業領域的翹楚。本校辦學績優,不僅獲Cheers雜誌評選為「TOP30」企業最愛大學畢業生,2025年QS世界大學永續發展排名全國第12名、48名學者入列2025全球前2%頂尖科學家,也連續榮獲教育部「高等教育深耕計畫」經費補助,為全球最具完整海洋特色且大學排名最前面之「國際化的頂尖海洋高等學府」。"
114,公立,一般大學,0013,國立中正大學,3404,1,3225,123,94.95,"本校以「新世代、新思維、新定位」為核心概念,培養學生思考能力、生活能力、運用資訊/媒體與科技能力、工作能力四個終身受用的關鍵能力,期許透過多元招生方式,結合教育部推動「適性揚才」理念且兼顧學系適性選才和多元指標的選才管道,擇選具有高學習熱忱及對學系有認同感之學生,使其能在符合興趣環境下自主學習,並提供不同背景、區域的學生就讀機會,促進學生組成多元化,拓展學生視野,為國家培育具職涯競爭力及國際移動力的跨領域優質人才。作為雲嘉地區指標性的綜合型大學,本校擁有文、理、社科、工、管理、法、教育等7個學院,以及前瞻製造、高齡研究、國家政策研究、奈米生物檢測等4個特色研究中心是進行跨領域學習的沃土。因此,本校透過建構適性揚才、多元拔尖的招生選才機制,展現大學應有的社會責任,讓在特殊領域有優秀表現的學生,不受現行招生管道限制,也讓經濟弱勢、原住民、新住民子女有更多入學機會,呈現出本校多元招生特色。"
114,公立,一般大學,0014,國立高雄師範大學,1975,0,1859,35,94.23,"一、定期製作校務成果簡報展現師生優質表現,設置媒體專區提升校務治理成效之能見度,爭取利害關係人之認同,提升學校聲譽,獲得社會大眾瞭解與肯定。二、重視與各招生管道的連結,學士班強化與高中端交流,積極到各高中宣傳,亦主動針對高中生書審資料及面試準備提供諮詢建議,以提高對本校的認同與辦學信心。碩、博士班招生除了至各公私立大學、補習班、產學界、社區積極宣傳,更積極辦理招生說明會、經營網路社群平台與粉絲團；定期舉辦校友聯誼,透過校友團隊力量為本校爭取更多潛在生源。三、為落實扶助弱勢的高教公共性精神,除開設原住民專班,並積極於招生場域宣導弱勢助學措施、透過入學管道優先錄取弱勢學生、報名費優待等,具體強化弱勢助學措施。四、針對國際生,積極參加越南、港、澳等地教育展,南向進行馬來亞西、印尼、印度、泰國之招生拓點計畫,並以獎學金、學雜費減免或住宿費減免、企業實習、全英授課及博士班招生等,吸引外國學生就讀。"
114,公立,一般大學,0015,國立彰化師範大學,2414,1,2345,102,97.30,"本校除了建立師範菁英教育體系及培育優秀中學師資之外,更均衡發展七個學院,創造多元豐富之學術領域,且在人文社會與科技產業各層面積極發揮影響力。本校以優質的師資、設備與適性的學術氛圍,致力啟發學生潛能並培育多元專業能力,使其成為國家中堅人才。為了打造優質的大學校園,近年來積極進行校園之軟硬體建設,讓學生能在優質校園環境的薰陶下,徜徉於自由學術園地,建立專業與自信,為未來的圓滿人生奠立良好基礎。本校除了注重培育學生兼具品德與跨領域的專業素養之外,更積極形塑人文與科技並重的校園文化,在追求知識與體能均衡發展的同時,兼顧傳統與創新,以及生命的關懷與圓滿。未來亦將持續秉持「務實、行動、效能」之精神,致力於校園建設,以培養學生的專業能力與品德為最高之教育願景！"
