學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別(日間),國家(地區)別(108.12新增),國家(地區)區域別(108.12新增),畢業境外生總人數小計,畢業境外生總人數男,畢業境外生總人數女,畢業外國學生小計,畢業外國學生男,畢業外國學生女,畢業僑生小計,畢業僑生男,畢業僑生女,畢業港澳生小計,畢業港澳生男,畢業港澳生女,畢業大陸地區來臺學位生小計,畢業大陸地區來臺學位生男,畢業大陸地區來臺學位生女
111,公立,一般大學,0001,國立政治大學,學士班(日間),緬甸,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),印度尼西亞共和國,東協,17,2,15,3,2,1,14,0,14,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),日本,其他亞洲地區,6,4,2,4,3,1,2,1,1,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),大韓民國(南韓),其他亞洲地區,7,3,4,6,3,3,1,0,1,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),馬來西亞,東協,51,12,39,2,0,2,49,12,37,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),泰國,東協,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),越南社會主義共和國,東協,9,3,6,3,1,2,6,2,4,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),香港,港澳,15,6,9,0,0,0,0,0,0,15,6,9,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),澳門,港澳,25,12,13,0,0,0,0,0,0,25,12,13,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),蒙古國,其他亞洲地區,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),法國,歐洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),加拿大,北美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),瓜地馬拉共和國,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),宏都拉斯共和國,中南美洲,5,1,4,5,1,4,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),尼加拉瓜,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),貝里斯,中南美洲,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),阿根廷,中南美洲,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),智利,中南美洲,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),巴拉圭,中南美洲,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,學士班(日間),大陸地區,大陸地區,4,1,3,0,0,0,0,0,0,0,0,0,4,1,3
111,公立,一般大學,0001,國立政治大學,碩士班(日間),緬甸,東協,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
111,公立,一般大學,0001,國立政治大學,碩士班(日間),印度,南亞,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
