學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,日間/進修,學制班別,當學年度總量內核定新生招生名額(A),當學年度新生保留入學資格人數(B),當學年度總量內新生招生核定名額之實際註冊人數(C),當學年度各學系境外(新生)學生實際註冊人數 (E),當學年度新生註冊率(%)D=〔(C+E)/(A-B+E)〕＊100％,當學年度系所招生特色說明,當學年度招生特色說明資訊網
114,公立,一般大學,0001,國立政治大學,01111001,教育學系,日間,學士班(含四技),49,0,49,5,100.00,"本學程並且得到來自校內社會科學學院、外國語文學院、國際關係研究中心等單位共同協助支持,在師資來源及開設課程上也由這以上四個單位的日本研究相關師資開授。",https://edu.nccu.edu.tw/PageDoc/Detail?fid=9755&id=13277
114,公立,一般大學,0001,國立政治大學,01111001,教育學系,日間,碩士班,11,1,10,0,100.00,"教育研究所(原名公民教育研究所)為本校首先成立的四個研究所之一,乃台灣最早成立的教育研究所。民國44年大學部招生。為提昇國內教育研究所的學術水準,本系於民國66年成立博士班,迄八十五學年度起系所合一,自學士班至博士班,有系統培養具備獨立思考及研究能力的教育專業人才。以下為本系所特色說明：1.培育具教育專業知識與技能、培養獨立研究與批判能力、拓展國際視野與多元教育觀之人才。2.以「教育基礎理論與方法」為主軸,培養研究/國際大型資料庫/測驗研發人才及探究型/教學領導型教師。",https://edu.nccu.edu.tw/PageDoc/Detail?fid=9755&id=13277
114,公立,一般大學,0001,國立政治大學,01111001,教育學系,日間,博士班,16,0,16,1,100.00,"本學位學程著重於由社會科學領域視角進行日本研究,課程方面注重社會科學研究方法等基礎學科訓練,同時也重視日本政治、經濟、社會及日本外交等各領域的知識訓練,本研究所鼓勵具有日語或是英語基礎,同時對日本研究有興趣的同學報考。",https://edu.nccu.edu.tw/PageDoc/Detail?fid=9755&id=13277
114,公立,一般大學,0001,國立政治大學,01114005,教育行政與政策研究所,日間,碩士班,15,0,15,0,100.00,"本校教育行政與政策研究所創立於2005年8月1日,前身係教育學系碩士班教育行政組,自2005年起招收優質學生,致力孕育頂尖之教育行政與政策專業人才。本校教育行政與政策研究所之教育目標、發展特色與系所優勢如下：一、教育目標：1.培養教育行政與政策領域學術研究人才。2.培育教育行政與學校行政領導管理人才。二、發展特色：1.與國內外相關領域研究所進行合作。2.增開與國家考試科目相關課程,提升學生國家考試錄取率。3.打造國家教育行政研究重鎮。4.強化國際學術交流合作,培育國際化人才。5.強化學生科技應用知能,符應未來國家發展之需求。三、優勢：1.畢業生表現優異,公職與教職就業率高,學用相符。2.理論與實務並重,提升學生就業適應能力與競爭力。2.師生歸屬感強,學生學習效果良好。",https://eap.nccu.edu.tw/PageDoc/Detail?fid=901&id=911
114,公立,一般大學,0001,國立政治大學,01114006,學校行政碩士在職專班,在職,碩士班,24,0,20,0,83.33,"教育學院學校行政碩士在職專班,於88學年度起開辦,前身為教育學系「中等學校教師在職進修學校行政碩士班」,為落實教育部終身學習及回流教育之政策,提供在職教師及學校行政相關人員在職進修的優質管道,本專班致力於整合本校、院既有研究成果與資源,提升整體資源使用之效益,以期培育拔群出類的新時代學校領導人。本專班以培育學校行政專業人才為發展重點,教育目標及發展特色如下：一、教育目標：1.提升在職教師及學校行政相關人員之領導與管理能力。2.提升在職教師及學校行政相關人員之學術研究能力。二、發展特色：1.校院研究資源豐富,滿足學習效益。2.師資陣容堅強,研究與實務經驗具備。3.課程多元均衡,強化專業知能。4.招生對象涵蓋完整學制系統。5.學生分布廣,具辦學吸引力。6.校友具高度凝聚力。",https://mesa.nccu.edu.tw/zh_tw/aboutUs
114,公立,一般大學,0001,國立政治大學,01121004,幼兒教育研究所,日間,碩士班,13,0,13,0,100.00,"目標與宗旨：一、培養幼教學術研究人才。二、培養幼教課程與教學之理論與實務人才。三、培養幼教行政、政策與經營管理之領導人才。四、培養幼教相關產業開發與領導人才。願景與目標：幼教所致力於培育「幼教專業人才及領導人才」,並以「國際化」、「學術深化」、「產官學合作」為幼教所願景與目標,為本校重要的教學研究單位,並以提升本校成為國際幼兒教育研究重鎮。  中長期策略：一、師資整合。二、培育教保、幼教課程。三、持續定期舉辦學術研討會。四、爭取教育系下設立博士班幼教組。五、創立幼兒教育相關期刊。六、強化附幼、合作園所教學、及本校各院系所之合作研究。七、其他提升教學、研究、推廣服務、建教合作、校際及國際合作之規劃。  畢業發展：一、國內公私立幼稚園教師、園長。二、自行創業,成立實現教育理念的幼稚園。三、幼教相關產業領導人才。四、各級政府幼教行政人才。五、國內幼教相關教育師資。六、國內幼教領域的學術研究人才。",https://ece.nccu.edu.tw/PageDoc/Detail?fid=2356&id=401
114,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,日間,碩士班,7,0,7,1,100.00,"本所為顧及未來宗教學術發展之需,培養頂尖的宗教研究人才,積極發展宗教學術教育。期以在跨學科與跨宗教傳統的訓練之下,使宗教研究成為具有深度的專業學門。目前設有碩士班、博士班,教學與研究發展目標秉持：第一、以廣義的綜合宗教研究為範圍,不偏向任何單一宗教傳統。第二、以多元科際整合進路為方向,不囿於某一學派、理論或方法。第三、宗教理論與實際兼具,著重國內宗教現象的觀察、分析與詮釋。碩士班課程結構的安排上,設計核心及必選修學群課程,讓課程架構更具明確性,引導幫助學生能更快入門",https://religion.nccu.edu.tw
114,公立,一般大學,0001,國立政治大學,02211019,宗教研究所,日間,博士班,3,0,3,2,100.00,"本所為顧及未來宗教學術發展之需,培養頂尖的宗教研究人才,積極發展宗教學術教育。期以在跨學科與跨宗教傳統的訓練之下,使宗教研究成為具有深度的專業學門。目前設有碩士班、博士班,教學與研究發展目標秉持：第一、以廣義的綜合宗教研究為範圍,不偏向任何單一宗教傳統。第二、以多元科際整合進路為方向,不囿於某一學派、理論或方法。第三、宗教理論與實際兼具,著重國內宗教現象的觀察、分析與詮釋。宗教所博士班課程設計以「世界宗教之比較研究」為發展方向與重點之設計理念",https://religion.nccu.edu.tw
114,公立,一般大學,0001,國立政治大學,02221020,歷史學系,日間,學士班(含四技),42,0,40,4,95.65,"本系以東亞近現代史、世界史、醫療史、宗教史、社會史、藝術史、性別史等領域為研究中心,研究成果豐碩。",https://history.nccu.edu.tw/
114,公立,一般大學,0001,國立政治大學,02221020,歷史學系,日間,碩士班,11,0,11,1,100.00,"本系以東亞近現代史、世界史、醫療史、宗教史、社會史、藝術史、性別史等領域為研究中心,研究成果豐碩。",https://history.nccu.edu.tw/
114,公立,一般大學,0001,國立政治大學,02221020,歷史學系,日間,博士班,4,0,4,0,100.00,"本系以東亞近現代史、世界史、醫療史、宗教史、社會史、藝術史、性別史等領域為研究中心,研究成果豐碩。",https://history.nccu.edu.tw/
